experiment,file,accuracy,f1_macro
No augmentation,sehri_et_al_inspired_setup__2026-04-30_15-35-39.json,0.3683,0.2733
No augmentation,sehri_et_al_inspired_setup__2026-04-30_16-20-05.json,0.3630,0.2710
No augmentation,sehri_et_al_inspired_setup__2026-04-30_17-04-30.json,0.3659,0.2714
No augmentation,sehri_et_al_inspired_setup__2026-04-30_17-48-43.json,0.3689,0.2739
No augmentation,sehri_et_al_inspired_setup__2026-04-30_18-33-01.json,0.3686,0.2750
No augmentation,sehri_et_al_inspired_setup__2026-04-30_19-17-23.json,0.3669,0.2726
No augmentation,sehri_et_al_inspired_setup__2026-04-30_20-01-51.json,0.3676,0.2724
No augmentation,sehri_et_al_inspired_setup__2026-04-30_20-46-05.json,0.3665,0.2736
No augmentation,sehri_et_al_inspired_setup__2026-04-30_21-30-27.json,0.3682,0.2738
No augmentation,sehri_et_al_inspired_setup__2026-04-30_22-14-42.json,0.3663,0.2720
No augmentation,sehri_et_al_inspired_setup__2026-04-30_22-59-02.json,0.3715,0.2744
No augmentation,sehri_et_al_inspired_setup__2026-04-30_23-43-24.json,0.3637,0.2673
No augmentation,sehri_et_al_inspired_setup__2026-05-01_00-27-47.json,0.3706,0.2765
No augmentation,sehri_et_al_inspired_setup__2026-05-01_01-12-02.json,0.3670,0.2728
No augmentation,sehri_et_al_inspired_setup__2026-05-01_01-56-29.json,0.3702,0.2750
No augmentation,sehri_et_al_inspired_setup__2026-05-01_02-41-04.json,0.3682,0.2745
No augmentation,sehri_et_al_inspired_setup__2026-05-01_03-25-24.json,0.3714,0.2755
No augmentation,sehri_et_al_inspired_setup__2026-05-01_04-09-51.json,0.3606,0.2659
No augmentation,sehri_et_al_inspired_setup__2026-05-01_04-54-14.json,0.3652,0.2720
No augmentation,sehri_et_al_inspired_setup__2026-05-01_05-38-34.json,0.3788,0.2792
No augmentation,sehri_et_al_inspired_setup__2026-05-01_06-23-08.json,0.3674,0.2720
No augmentation,sehri_et_al_inspired_setup__2026-05-01_07-07-15.json,0.3666,0.2713
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_15-36-38.json,0.3733,0.2841
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_16-21-04.json,0.3744,0.2854
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_17-05-30.json,0.3827,0.2877
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_17-49-42.json,0.3792,0.2863
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_18-34-00.json,0.3810,0.2895
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_19-18-22.json,0.3764,0.2861
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_20-02-50.json,0.3788,0.2858
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_20-47-04.json,0.3841,0.2894
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_21-31-26.json,0.3699,0.2815
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_22-15-41.json,0.3766,0.2875
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_23-00-01.json,0.3720,0.2820
With augmentation,sehri_et_al_inspired_setup_aug_2026-04-30_23-44-23.json,0.3900,0.2897
With augmentation,sehri_et_al_inspired_setup_aug_2026-05-01_00-28-46.json,0.3798,0.2890
With augmentation,sehri_et_al_inspired_setup_aug_2026-05-01_01-13-01.json,0.3724,0.2840
With augmentation,sehri_et_al_inspired_setup_aug_2026-05-01_01-57-28.json,0.3781,0.2858
With augmentation,sehri_et_al_inspired_setup_aug_2026-05-01_02-42-04.json,0.3704,0.2808
With augmentation,sehri_et_al_inspired_setup_aug_2026-05-01_03-26-24.json,0.3732,0.2842
With augmentation,sehri_et_al_inspired_setup_aug_2026-05-01_04-10-51.json,0.3783,0.2880
With augmentation,sehri_et_al_inspired_setup_aug_2026-05-01_04-55-13.json,0.3742,0.2848
With augmentation,sehri_et_al_inspired_setup_aug_2026-05-01_05-39-33.json,0.3775,0.2879
With augmentation,sehri_et_al_inspired_setup_aug_2026-05-01_06-24-08.json,0.3763,0.2846
With augmentation,sehri_et_al_inspired_setup_aug_2026-05-01_07-08-14.json,0.3700,0.2814
