experiment,round,accuracy_mean,accuracy_std,f1_mean,f1_std
No augmentation,1,0.5975,0.0451,0.5189,0.1283
No augmentation,2,0.5922,0.0516,0.5192,0.1298
No augmentation,3,0.5965,0.0355,0.5213,0.1218
No augmentation,4,0.5664,0.1081,0.5185,0.1254
No augmentation,5,0.5917,0.0417,0.5219,0.1183
No augmentation,6,0.5957,0.0448,0.5182,0.1290
No augmentation,7,0.5946,0.0387,0.5182,0.1277
No augmentation,8,0.5655,0.1100,0.5184,0.1286
No augmentation,Mean,0.5875,0.0670,0.5193,0.1256
With augmentation,1,0.5357,0.0559,0.4559,0.1107
With augmentation,2,0.5310,0.0327,0.4542,0.1098
With augmentation,3,0.5340,0.0662,0.4579,0.1098
With augmentation,4,0.5054,0.0978,0.4560,0.1090
With augmentation,5,0.5291,0.0317,0.4506,0.1153
With augmentation,6,0.5320,0.0579,0.4501,0.1184
With augmentation,7,0.5335,0.0662,0.4562,0.1125
With augmentation,8,0.5072,0.1013,0.4567,0.1122
With augmentation,Mean,0.5260,0.0688,0.4547,0.1117
